#ID,Type_MiKu,ItemType,EquipmentSlotType,Name [JA],Name [EN],Rarity,Grade,Physical Attack,Magical Attack,Range Distance,Special Performance,Durability,Hardness,Weight,Slash,Strike,Pierce,checkup,Bonus Tolerance,FIG,THI,MAG,PRI,SAM,NIN,BIS,LOR,CLO,ALC,Occupations,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUK,Poison,Paralysis,Stone,Faint,Blind,Sleep,Silent,Charm,Confus ,Fear,Fire Def,Water Def,Wind Def,Earth Def,Light Def,Dark Def,Fire Atk,Water Atk,Wind Atk,Earth Atk,Light Atk,Dark atk,Sellable,Tradable,NEW,Lootable,Blessable,Cursable,Lower Limit,Upper Limit,required_str,required_vit,required_dex,required_agi,required_int,required_pie,required_luk,required_soul_level,required_alignment,required_human,required_elf,required_dwarf,required_gnome,required_porkul,required_gender,When Equipped [JA],When equipped [EN],Positive Effect,Abnormal State [JA],Abnormal State [EN],Abnormal State [JA] (text),Abnormal State [EN] (text),Status Effect,Comment [JA],Comment [EN],Obtained [JA],Obtained [EN],Note [JA],Note [EN],Collation [JA],Collation [EN],Evidence,
100112,Head,HELMET,HEAD,ブレシングガード,Shake Sing guard,Good,15,44,20,0,0,35,3,0.90,40,40,20,ok,-1,0,0,0,1,1,0,1,1,1,0,472,20,10,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,40,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100113,Head,HELMET,HEAD,ルフリーゼガード,Le Frize guard,Good,17,51,24,0,0,35,2,0.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,15,20,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100114,Head,HELMET,HEAD,グラフィコガード,Gurafiko guard,Normal,19,61,29,0,0,35,2,0.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,20,20,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,48,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100115,Head,HELMET,HEAD,プリヴィディエガード,Pre-Vie Die guard,Normal,21,74,34,0,0,32,2,1.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,25,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,52,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100116,Head,HELMET,HEAD,【RD】ソリッドレザーガード,[RD] Solid leather guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100181,Head,HELMET,HEAD,鬼神の鉢巻,Headband of demon,Master,14,49,15,0,0,35,4,1.00,40,40,20,ok,42,0,0,0,0,1,0,0,0,0,0,16,30,10,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,38,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,OD 自然回復上限値上昇,OD natural recovery upper limit rise,TRUE,,,,,0%,,,,,,,,,E,
100191,Head,HELMET,HEAD,使い古されたレザーガード,Old Guard,Normal,1,5,1,0,0,32,1,0.80,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100192,Head,HELMET,HEAD,ラスヴェートガード,Las Weserblick door guard,Normal,22,80,37,0,0,32,2,1.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,30,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,54,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100193,Head,HELMET,HEAD,【RD】レザーガード,[RD] leather guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100201,Head,HELMET,HEAD,ブロンズヘルム,Bronze Helm,Normal,2,15,2,0,0,35,4,2.00,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100202,Head,HELMET,HEAD,エスペランサメット,Magic Helm,Normal,23,93,39,0,0,35,4,4.20,40,30,30,ok,37,1,0,0,0,0,0,0,1,1,0,385,45,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100203,Head,HELMET,HEAD,クリムゾンヘルム,Crimson Helm,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100204,Head,HELMET,HEAD,ゴスペルヘルム,Gospel Helm,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100205,Head,HELMET,HEAD,ダマスカスヘルム,Damascus Helm,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100206,Head,HELMET,HEAD,クリスタルヘルム,Crystal Helm,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100207,Head,HELMET,HEAD,ヘッドロック,Headlock,Poor,1,1,1,0,0,35,4,5.00,40,30,30,ok,26,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100208,Head,HELMET,HEAD,忍耐の兜,Helmet of Endurance,Good,2,13,1,0,0,150,4,1.70,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100209,Head,HELMET,HEAD,歴戦のブロンズヘルム,Veteran Bronze Helm,Normal,4,20,0,0,0,35,4,1.60,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100210,Head,HELMET,HEAD,ライトアイアンヘルム,Light Iron Helm,Normal,5,16,0,0,0,35,4,1.30,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100211,Head,HELMET,HEAD,常勝のブロンズヘルム,Invincible Bronze Helm,Normal,10,36,2,0,0,35,4,1.60,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,0,0,0,0,0,0,0,6,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100212,Head,HELMET,HEAD,デモニックガード,Demonic guard,Master,16,53,25,0,0,35,2,1.00,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,25,20,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,ヒール系回復量上昇,Heel-based recovery amount rises,TRUE,,,,,0%,,,,,,,,,A,
100213,Head,HELMET,HEAD,ソロモンヘルム,Solomon Helm,Normal,26,119,56,0,0,35,2,2.30,40,40,20,ok,38,1,0,0,1,1,0,1,1,1,0,473,50,20,2,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,62,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100214,Head,HELMET,HEAD,強心のノルマンヘルム,Cardiac of the Norman Helm,Master,10,35,14,0,0,35,2,1.00,40,40,20,ok,40,0,0,0,1,0,0,1,1,0,0,200,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100301,Head,HELMET,HEAD,ハードレザーガード,Hard Leather Guard,Normal,2,12,1,0,0,33,1,1.10,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100302,Head,HELMET,HEAD,エキスパートガード,Expert Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100303,Head,HELMET,HEAD,フェンダーガード,Blood Guard,Normal,16,47,21,0,0,38,2,1.00,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,5,30,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100304,Head,HELMET,HEAD,オニロガード,Moon Guard,Normal,25,109,52,0,0,38,2,2.30,40,40,20,ok,38,1,0,0,1,1,0,1,1,1,0,473,40,20,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,60,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100305,Head,HELMET,HEAD,グローリィガード,Glory Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100306,Head,HELMET,HEAD,ブレストガード,Blessed Guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100307,Head,HELMET,HEAD,頑丈なハードレザーガード,Sturdy Hard Leather Guard,Normal,4,16,2,0,0,38,2,1.00,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100308,Head,HELMET,HEAD,【RD】ハードレザーガード,[RD] Hard Leather guard,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
100401,Head,HELMET,HEAD,アイアンヘルム,Iron Helm,Normal,5,24,0,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100402,Head,HELMET,HEAD,ゼフレイアヘルム,Iron Helm 2,Good,17,52,23,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,35,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100403,Head,HELMET,HEAD,クリシスヘルム,Iron Helm 3,Normal,24,104,46,0,0,42,4,1.80,40,40,20,ok,37,1,0,0,0,0,0,0,1,1,0,385,50,0,4,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,58,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,E,
100404,Head,HELMET,HEAD,ルミナスヘッド,Iron Helm 4,Master,23,108,45,0,0,42,4,3.80,40,40,20,ok,47,1,0,0,0,0,0,0,1,1,0,385,75,0,3,7,3,2,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,正面時物理被ダメージ減少,Front when the physical object damage reduction,TRUE,,,,,0%,,,,,,,,,E,
100405,Head,HELMET,HEAD,デモニックヘルム,Iron Helm 5,Master,16,53,25,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,40,30,3,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,GP 回復開始時間短縮,GP recovery start time shortening,TRUE,,,,,0%,,,,,,,,,A,
100406,Head,HELMET,HEAD,ヘヴィアイアンヘルム,Heavy Iron Helm,Good,7,30,0,0,0,42,4,3.00,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100407,Head,HELMET,HEAD,王者の兜,King's Helm,Master,7,31,15,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100408,Head,HELMET,HEAD,王者の戦兜,King's War Helm,Good,12,41,9,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,,
100501,Head,HELMET,HEAD,サリット,Sarit,Good,8,33,0,0,0,42,5,1.90,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100502,Head,HELMET,HEAD,プレパレイションヘルム,Night Helm,Normal,16,48,21,0,0,42,5,3.00,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,0%,,,,,,,,,A,
100503,Head,HELMET,HEAD,アイリスヘルム,Iris Helm,None,0,0,0,0,0,0,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,FALSE,,,,,,,,,,,,,,,
