#,#識別情報,,,,,,,,,,,,,,良/悪,任意にはずせるか,上書き効果,,,状態異常種別,,,,特殊エリアに表示,装備バフか,
#,#serialid,ゲーム内名称,,アイコンID,ログID,死亡時のログID,ステルス時ログID,エフェクトID,モーション停止,足跡無効,ブライトのライト,追加トレイル(物理系)エフェクトID,保険護符(装備),効果重複時ログID,,,,エフェクトログID,,,チェンジマップ時エフェクト再生無効,画面効果,アクションボタン強制有効,,,
#,#:6000個まで,通常時,ゲーム内説明,,,,,,,,,,,,,,,,付与効果時,,,,,,,
#,#,,,,,,自動計算,,,,,,,,,,,,,,,,,,,
#,1,,,,,,,,,,,,,,5,6,9,,,4,,,,,,
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
39,正気度,,505032,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
40,正気度,,505031,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
41,正気度,<color PARAM_DN>抜刀禁止</color>,505030,18,,18,,,,,,,,NONE,0,0,,,,,,,,,
42,,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
43,,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
51,デスペナルティ,<color PARAM_DN>全パラメータダウン</color>,505010,1,,1,,,,,,,1,NONE,0,0,,,,,,,,,
52,メンター制限,<color PARAM_DN>メンティに対する恩恵付与不可／AdPoint入手ボーナス無効</color>,105052,1,,1,,,,,,,1,NONE,0,0,,,,,,,,,
100,,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
101,睡眠,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_DN>受けるダメージ増加</color>,400002,4,,4,,,,,,,1,BAD,0,1,,,SLEEP,,,,,,
102,気絶,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>,400008,9,,9,,,,,,,1,BAD,0,1,,,FAINT,,,,,,
103,麻痺,<color PARAM_DN>行動失敗</color>,400003,5,,5,,,,,,,1,BAD,0,0,,,PARALYSIS,,,,,,
104,沈黙,<color PARAM_DN>スキル使用禁止</color>,400005,3,,3,,,,,,,1,BAD,0,1,,,SILENT,,,,,,
105,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
106,混乱,,,,,,,,,,,,,BAD,0,0,,,,,,,,,
107,恐怖,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>感知範囲縮小</color>,400009,3,,3,,,,,,,1,BAD,0,1,,,FEAR,,,,,,
108,石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>,400004,6,,6,,1,,,,,1,BAD,0,1,,,PETRIFACTION,,,,,,
109,魅了,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>OD使用不可</color>,400006,14,,14,,,,,,,1,BAD,0,0,,,CHARM,,,,,,
110,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,1,BAD,0,0,,,DARK,,,,,,
111,睡眠ガス,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_DN>受けるダメージ増加</color>,400002,4,,4,,,,,,,1,BAD,0,1,,,SLEEP,,,,,,
112,麻痺＆恐怖,<color PARAM_DN>行動失敗</color>／<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>感知範囲縮小</color>,400003,5,,5,,,,,,,1,BAD,0,0,,,PARALYSIS,,,,,,
113,恐怖,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>感知範囲縮小</color>,400009,3,,3,,,,,,,1,BAD,0,1,,,FEAR,,,,,,
114,,,,,,,,,,,,,,NONE,0,1,,,,,,,,,
115,特殊石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>,400004,6,,6,,1,,,,,1,NONE,0,1,,,,,,,,,
116,特殊石化,,,,,,,,,,,,,NONE,0,1,,,PETRIFACTION,,,,,,
117,自己修復,<color PARAM_UP>HPが一定時間毎に回復</color>／<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>,400004,19,,19,,1,,,,,1,NONE,0,1,,,,,,,,,
118,麻痺,<color PARAM_DN>行動失敗</color>,400003,5,,5,,,,,,,1,BAD,0,0,,,PARALYSIS,,,,,,
119,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,1,BAD,0,0,,,DARK,,,,,,
120,麻痺,<color PARAM_DN>行動失敗</color>,400003,5,,5,,,,,,,1,BAD,0,0,,,,,,,,,
121,麻痺ガス,<color PARAM_DN>行動失敗</color>,400003,5,,5,,,,,,,1,BAD,0,0,,,PARALYSIS,,,,,,
122,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,1,BAD,0,0,,,DARK,,,,,,
123,疲労,<color PARAM_DN>最大ＨＰ減少</color>,102001,1,,1,,,,,,,1,BAD,0,2,,,,,,,,,
124,,,,,,,,,,,,,,BAD,0,0,,,,,,,,,
125,,,,,,,,1,,,,,1,NONE,0,1,,,,,,,,,
126,石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>／時間経過ダメージ,400004,6,,6,,1,,,,,1,BAD,0,1,,,PETRIFACTION,,,,,,
127,呪石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color></br><color PARAM_DN>時間切れで死亡</color>,400004,27,,27,,1,,,,,1,NONE,0,1,,,,,,,,,
128,呪石化予防,,105010,1,,1,,,,,,,,NONE,0,1,,,,,,,,,
129,,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
130,,,,,,,,,,,,,,BAD,0,0,,,,,,,,,
131,混乱,<color PARAM_DN>移動方向反転</color>／<color PARAM_DN>ステップ・ジャンプ禁止</color>／<color PARAM_DN>行動失敗</color>,400007,7,,7,,,,,,,1,BAD,0,1,,,CONFUSION,,2,,,,
132,混乱,<color PARAM_DN>攻撃判定制御不能</color>／<color PARAM_DN>行動失敗</color>,400007,7,,7,,,,,,,1,BAD,0,1,,,CONFUSION,,,,,,
133,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,1,BAD,0,0,,,,,,,,,
134,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,1,BAD,0,0,,,,,,,,,
135,,,,,,,,,,,,,,NONE,0,0,102,,,,,,,,
136,,,,,,,,,,,,,,BAD,0,0,,,,,,,,,
137,疲労,,,,,,,,,,,,1,NONE,0,0,,,,,,,,,
138,疲労,<color PARAM_DN>最大ＨＰ減少</color>,102001,1,,1,,,,,,,1,BAD,0,0,,,,,,,,,
139,疲労,<color PARAM_DN>最大ＨＰ減少</color>,102001,1,,1,,,,,,,1,BAD,0,0,,,,,,,,,
140,疲労,<color PARAM_DN>最大ＨＰ減少</color>,102001,1,,1,,,,,,,1,BAD,0,0,,,,,,,,,
141,,,,,,,,,,,,,,NONE,0,1,,,,,,,,,
142,,,,,,,,,,,,,,NONE,0,1,,,,,,,,,
143,気絶,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>,400008,9,,9,,,,,,,1,BAD,0,1,,,FAINT,,,,,,
144,恐怖&混乱,,,,,,,,,,,,,NONE,0,0,,,,,,,,,
145,呪毒,時間経過ダメージ／<color PARAM_DN>最大ＨＰ減少</color>,400001,1,,1,,,,,,,1,BAD,0,0,,,POISON,,,,,,
146,疲労,<color PARAM_DN>最大ＨＰ減少</color>,102001,1,,1,,,,,,,1,BAD,0,2,,,,,,,,,
153,麻痺,<color PARAM_DN>行動失敗</color>,400003,5,,5,,,,,,,1,BAD,0,0,,,PARALYSIS,,,,,,
157,恐怖,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>感知範囲縮小</color>,400009,3,,3,,,,,,,1,BAD,0,1,,,FEAR,,,,,,
158,石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>,400004,6,,6,,1,,,,,1,BAD,0,1,,,PETRIFACTION,,,,,,
159,魅了,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>OD使用不可</color>,400006,14,,14,,,,,,,1,BAD,0,0,,,CHARM,,,,,,
160,石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>,400004,6,,6,,1,,,,,1,BAD,0,1,,,PETRIFACTION,,,,,,
161,混乱毒,,,,,,,,,,,,,BAD,0,0,,,,,,,,,
162,混乱毒,<color PARAM_DN>移動方向反転</color>／<color PARAM_DN>ステップ・ジャンプ禁止</color>／<color PARAM_DN>行動失敗</color>,400007,7,,7,,,,,,,1,BAD,0,1,,,CONFUSION,,2,,,,
163,混乱毒,<color PARAM_DN>攻撃判定制御不能</color>／<color PARAM_DN>行動失敗</color>／時間経過ダメージ,400007,7,,7,,,,,,,1,BAD,0,1,,,CONFUSION,,,,,,
164,魅了のキス,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>OD使用不可</color>／<color PARAM_DN>移動停止</color>,400006,14,,14,,,,,,,1,BAD,0,0,,,CHARM,,,,,,
201,麻痺,<color PARAM_DN>行動失敗</color>時間経過ダメージ,400003,5,,5,,,,,,,1,BAD,0,0,,,PARALYSIS,,,,,,
202,帯電,,400003,,,,,,,,,,1,NONE,0,1,,,,,,,,,
203,帯電,,400003,,,,,,,,,,1,NONE,0,1,,,,,,,,,
204,帯電,,400003,,,,,,,,,,1,NONE,0,1,,,,,,,,,
211,爛れ,,,,,,,,,,,,1,BAD,0,0,,,,,,,,,
212,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
213,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
214,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
215,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
216,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
217,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
218,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
219,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
220,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
221,爛れ,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
222,ランダム効果,,,,,,,,,,,,1,NONE,0,0,,,,,,,,,
223,燃焼,時間経過ダメージ,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
224,穢れの炎,<color PARAM_DN>ヒール回復量低下</color>,105022,3,,3,3,,,,,,1,BAD,0,0,,,,,,,,,
231,グランドラップ,<color PARAM_DN>移動速度低下</color>／<color PARAM_DN>行動失敗</color>,400003,,,,,,,,,,1,BAD,0,0,,,,,,,,,
451,沈黙,<color PARAM_DN>スキル使用禁止</color>,400005,3,,3,,,,,,,1,BAD,0,1,,,,,,,,,
500,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,NONE,0,0,,,,,,,,1,
501,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
502,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
503,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,1,,,POISON,,,,,,
504,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
505,毒,時間経過ダメージ,400001,2,,2,,,,,,,1,BAD,0,1,,,POISON,,,,,,
506,毒,時間経過ダメージ,400001,2,,2,,,,,,,1,BAD,0,1,,,POISON,,,,,,
507,毒,時間経過ダメージ,400001,2,,2,1,,,,,,1,BAD,0,1,,,POISON,,,,,,
508,毒,時間経過ダメージ,400001,2,,2,,,,,,,1,BAD,0,1,,,POISON,,,,,,
509,毒,時間経過ダメージ,400001,2,,2,1,,,,,,1,BAD,0,1,,,POISON,,,,,,
510,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
511,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
512,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
513,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
514,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
515,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
516,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
517,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
518,毒,時間経過ダメージ,400001,2,,2,,,,,,,1,BAD,0,1,,,POISON,,,,,,
519,毒,時間経過ダメージ,400001,2,,2,,,,,,,1,BAD,0,1,,,POISON,,,,,,
520,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
521,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
522,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
523,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
524,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
525,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
526,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
527,茨道,<color PARAM_DN>時間経過ダメージ</color>／<color PARAM_DN>移動速度低下</color>／<color PARAM_DN>AGI低下</color>,400001,3,,3,,,,,,,1,BAD,0,0,,,,,,,,,
528,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
529,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
530,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
531,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
532,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
533,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
534,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
535,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
536,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
537,空腹の呪い,"飢餓により、HP,MP,ODが減少し、</br>食事効果が失われる。",400001,3,,3,1,,,,,,1,NONE,0,1,,,,,,,,,
538,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
539,魔針,時間経過ダメージ／<color PARAM_DN>解除不可</color>,400001,3,,3,1,,,,,,1,NONE,0,0,,,,,,,,,
540,蛇毒,,,,,,,,,,,,1,BAD,0,0,,,,,,,,,
541,蛇毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
542,蛇毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
543,蛇毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
544,蛇毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
545,蛇毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
546,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,1,,,POISON,,,,,,
547,火炎毒,時間経過ダメージ／<color PARAM_DN>魔法によるHP回復量減少</color>,105022,1,,1,3,,,,,,1,BAD,0,0,,,,,,,,,
548,スプレッドマリス,,,,,,,,,,,,1,BAD,0,0,,,,,,,,,
549,スプレッドマリスLv1,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
550,スプレッドマリスLv2,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
551,スプレッドマリスLv3,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
552,スプレッドマリスLv4,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
553,スプレッドマリスLv5,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
554,スプレッドマリスLv6,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
555,スプレッドマリスLv7,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
556,スプレッドマリスLv8,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
557,スプレッドマリスLv9,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
558,スプレッドマリスLv10,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
559,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
571,スプレッドマリス,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
581,流血,時間経過ダメージ／<color PARAM_DN>魔法によるHP回復量減少</color>,402014,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
590,時間経過ダメージ,時間経過ダメージ,105018,3,,3,,,,,,,1,BAD,0,1,,,,,,,,1,
591,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,2,,,POISON,,,,,,
592,毒,即死ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,,,,,,,
593,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,1,,,POISON,,,,,,
594,石化,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>／<color PARAM_UP>受けるダメージ減少</color>,400004,6,,6,,1,,,,,1,BAD,0,1,,,PETRIFACTION,,,,,,
595,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,1,,,POISON,,,,,,
596,麻痺毒,時間経過ダメージ＋麻痺,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
597,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,2,,,POISON,,,,,,
598,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,2,,,POISON,,,,,,
599,毒,時間経過ダメージ,400001,3,,3,1,,,,,,1,BAD,0,0,,,POISON,,,,,,
601,麻痺,<color PARAM_DN>行動失敗</color>,400003,5,,5,,,,,,,1,BAD,0,1,,,,,,,,1,
602,睡眠解除,<color PARAM_DN>睡眠解除</color>,,,,,,,,,,,1,NONE,0,0,,,,,,,,,
621,気絶,<color PARAM_DN>行動停止</color>／<color PARAM_DN>移動停止</color>,400008,9,,9,,,,,,,1,BAD,0,1,,,,,,,,,
671,恐怖,<color PARAM_DN>抜刀禁止</color>／<color PARAM_DN>感知範囲縮小</color>,400009,3,,3,,,,,,,1,BAD,0,1,,,,,,,,,
801,,,,,,,,,,,,,1,GOOD,1,0,,,,,,,,,
802,,,,,,,,,,,,,1,GOOD,0,0,,,,,,,,,
1011,暗闇,<color PARAM_DN>視界範囲縮小</color>,400010,8,,8,,,,,,,1,BAD,0,1,,,,,1,,,1,
1012,,,,,,,,,,,,,1,NONE,0,0,,,,,1,,,,
2001,睡眠効果時間延長,睡眠効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2002,睡眠効果時間短縮,<color PARAM_UP>睡眠効果時間短縮</color>,102005,1,,1,,,,,,,1,GOOD,0,1,,,,,,,,1,
2011,気絶効果時間延長,気絶効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2012,気絶効果時間短縮,<color PARAM_UP>気絶効果時間短縮</color>,102005,1,,1,,,,,,,1,GOOD,0,1,,,,,,,,1,
2021,麻痺効果時間延長,麻痺効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2031,沈黙効果時間延長,沈黙効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2041,恐怖効果時間延長,恐怖効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2051,毒効果時間延長,毒効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2061,石化効果時間延長,石化効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2071,魅了効果時間延長,魅了効果時間延長,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2551,斬属性与ダメージ上昇,斬属性ダメージ上昇,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2552,寸断,<color PARAM_UP>斬属性ダメージ上昇</color>／<color PARAM_UP>自身のODが高いほど物理与ダメージ上昇</color>,103020,1,,1,,,,,,,1,GOOD,0,1,,,,,,,,1,
2651,打属性与ダメージ上昇,打属性ダメージ上昇,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2652,撃砕,<color PARAM_UP>打属性ダメージ上昇</color>／<color PARAM_UP>攻撃時OD回復量上昇</color>,103020,1,,1,,,,,,,1,GOOD,0,1,,,,,,,,1,
2661,打属性耐性減少,<color PARAM_DN>打属性耐性減少</color>,402001,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
2751,突属性与ダメージ上昇,突属性ダメージ上昇,,,,,,,,,,,1,GOOD,0,1,,,,,,,,1,
2752,穿貫,<color PARAM_UP>突属性ダメージ上昇</color>／<color PARAM_UP>モンスターの物理防御力を一部無視</color>,103020,1,,1,,,,,,,1,GOOD,0,1,,,,,,,,1,
3001,物理攻撃力低下,<color PARAM_DN>物理攻撃力低下</color>,402001,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3002,物理攻撃力低下,<color PARAM_DN>物理攻撃力低下</color>,402001,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3003,物理攻撃力低下＆睡眠,<color PARAM_DN>物理攻撃力低下</color>,,,,,,,,,,,,BAD,0,0,,,,,,,,,
3004,物理攻撃力低下＆睡眠,<color PARAM_DN>物理攻撃力低下</color>,,,,,,,,,,,,BAD,0,0,,,,,,,,,
3005,物理攻撃力低下＆睡眠,<color PARAM_DN>物理攻撃力低下</color>,,,,,,,,,,,,BAD,0,0,,,,,,,,,
3501,魔法攻撃力低下,<color PARAM_DN>魔法攻撃力低下</color>,402004,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3502,魔法攻撃力低下,<color PARAM_DN>魔法攻撃力低下</color>,402004,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3511,デッドリィペイン,<color PARAM_DN>魔法攻撃力低下</color>／<color PARAM_DN>ヒール回復力低下</color>,402014,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3512,デッドリィペイン,<color PARAM_DN>魔法攻撃力低下</color>／<color PARAM_DN>ヒール回復力低下</color>,402014,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3513,デッドリィペイン,<color PARAM_DN>魔法攻撃力低下</color>／<color PARAM_DN>ヒール回復力低下</color>,402014,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3514,デッドリィペイン,<color PARAM_DN>魔法攻撃力低下</color>／<color PARAM_DN>ヒール回復力低下</color>,402014,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
3515,デッドリィペイン,<color PARAM_DN>魔法攻撃力低下</color>／<color PARAM_DN>ヒール回復力低下</color>,402014,2,,2,,,,,,,1,BAD,0,0,,,,,,,,,
