#ID,Type,Name [JA],Name [EN],Rarity,Grade,Physical,Magical,Range Distance,Special Performance,Durability,Hardness,Weight,Slash,Strike,Pierce,checkup,Bonus Tolerance,FIG,THI,MAG,PRI,SAM,NIN,BIS,LOR,CLO,ALC,Occupations,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUK,Poison,Paralysis,Stone,Faint,Blind,Sleep,Silent,Charm,Confus ,Fear,Fire Def,Water Def,Wind Def,Earth Def,Light Def,Dark Def,Fire Atk,Water Atk,Wind Atk,地攻,光攻,闇攻,Sellable,Tradable,NEW,Lootable,Blessable,Cursable,Lower Limit,Upper Limit,Requirements,When Equipped [JA],When equipped [EN],Positive Effect,Abnormal State [JA],Abnormal State [EN],Abnormal State [JA] (text),Abnormal State [EN] (text),Status Effect,Comment [JA],Comment [EN],Obtained [JA],Obtained [EN],Note [JA],Note [EN],Collation [JA],Collation [EN],Evidence
100111,Head,練達のレザーガード,Leather guard of Rentatsu,Normal,10,33,8,0,0,32,2,0.80,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,
100112,Head,ブレシングガード,Shake Sing guard,Good,15,44,20,0,0,35,3,0.90,40,40,20,ok,-1,0,0,0,1,1,0,1,1,1,0,472,20,10,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,40,-1,,,,FALSE,,,,,0%,,,,,,,,,
100113,Head,ルフリーゼガード,Le Frize guard,Good,17,51,24,0,0,35,2,0.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,15,20,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100114,Head,グラフィコガード,Gurafiko guard,Normal,19,61,29,0,0,35,2,0.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,20,20,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,48,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100115,Head,プリヴィディエガード,Pre-Vie Die guard,Normal,21,74,34,0,0,32,2,1.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,25,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,52,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100116,Head,【RD】ソリッドレザーガード,[RD] Solid leather guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100181,Head,鬼神の鉢巻,Headband of demon,Master,14,49,15,0,0,35,4,1.00,40,40,20,ok,42,0,0,0,0,1,0,0,0,0,0,16,30,10,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,38,-1,,OD 自然回復上限値上昇,OD natural recovery upper limit rise,TRUE,,,,,0%,,,,,,,,,E
100191,Head,使い古されたレザーガード,Leather guard that has been overused,Normal,1,5,1,0,0,32,1,0.80,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-1,,,,FALSE,,,,,0%,,,,,,,,,
100192,Head,ラスヴェートガード,Las Weserblick door guard,Normal,22,80,37,0,0,32,2,1.90,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,30,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,54,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100193,Head,【RD】レザーガード,[RD] leather guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100201,Head,ブロンズヘルム,Bronze Helm,Normal,2,15,2,0,0,35,4,2.00,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,SR 2,,,FALSE,,,,,0%,,,,,,,,,
100202,Head,エスペランサメット,Esperanza Met,Normal,23,93,39,0,0,35,4,4.20,40,30,30,ok,37,1,0,0,0,0,0,0,1,1,0,385,45,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100203,Head,クリムゾンヘルム,Crimson Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100204,Head,ゴスペルヘルム,Gospel Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100205,Head,ダマスカスヘルム,Damascus Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100206,Head,クリスタルヘルム,Crystal Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100207,Head,ヘッドロック,Headlock,Poor,1,1,1,0,0,35,4,5.00,40,30,30,ok,26,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100208,Head,忍耐の兜,Helmet of patience,Good,2,13,1,0,0,150,4,1.70,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,SR 2,,,FALSE,,,,,0%,,,,,,,,,
100209,Head,歴戦のブロンズヘルム,Bronze Helm of veteran,Normal,4,20,0,0,0,35,4,1.60,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 4,,,FALSE,,,,,0%,,,,,,,,,A
100210,Head,ライトアイアンヘルム,Light Iron Helm,Normal,5,16,0,0,0,35,4,1.30,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 5,,,FALSE,,,,,0%,,,,,,,,,
100211,Head,常勝のブロンズヘルム,Bronze Helm of Tsuyoshi Hisashi,Normal,10,36,2,0,0,35,4,1.60,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,
100212,Head,デモニックガード,Demonic guard,Master,16,53,25,0,0,35,2,1.00,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,25,20,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,ヒール系回復量上昇,Heel-based recovery amount rises,TRUE,,,,,0%,,,,,,,,,A
100213,Head,ソロモンヘルム,Solomon Helm,Normal,26,119,56,0,0,35,2,2.30,40,40,20,ok,38,1,0,0,1,1,0,1,1,1,0,473,50,20,2,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,62,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100214,Head,強心のノルマンヘルム,Norman Helm of inotropic,Master,10,35,14,0,0,35,2,1.00,40,40,20,ok,40,0,0,0,1,0,0,1,1,0,0,200,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100301,Head,ハードレザーガード,Hard Leather guard,Normal,2,12,1,0,0,33,1,1.10,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,SR 2,,,FALSE,,,,,0%,,,,,,,,,
100302,Head,エキスパートガード,Expert guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100303,Head,フェンダーガード,Fender guard,Normal,16,47,21,0,0,38,2,1.00,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,5,30,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100304,Head,オニロガード,Onirogado,Normal,25,109,52,0,0,38,2,2.30,40,40,20,ok,38,1,0,0,1,1,0,1,1,1,0,473,40,20,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,60,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100305,Head,グローリィガード,Glow Ryi guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100306,Head,ブレストガード,Brest guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100307,Head,頑丈なハードレザーガード,Sturdy hard leather guard,Normal,4,16,2,0,0,38,2,1.00,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 4,,,FALSE,,,,,0%,,,,,,,,,
100308,Head,【RD】ハードレザーガード,[RD] Hard Leather guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100401,Head,アイアンヘルム,Iron Helm,Normal,5,24,0,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 5,,,FALSE,,,,,0%,,,,,,,,,A
100402,Head,ゼフレイアヘルム,Ze Freya Helm,Good,17,52,23,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,35,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100403,Head,クリシスヘルム,Kurishisuherumu,Normal,24,104,46,0,0,42,4,1.80,40,40,20,ok,37,1,0,0,0,0,0,0,1,1,0,385,50,0,4,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,58,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100404,Head,ルミナスヘッド,Luminous head,Master,23,108,45,0,0,42,4,3.80,40,40,20,ok,47,1,0,0,0,0,0,0,1,1,0,385,75,0,3,7,3,2,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,,正面時物理被ダメージ減少,Front when the physical object damage reduction,TRUE,,,,,0%,,,,,,,,,E
100405,Head,デモニックヘルム,Demo Nick Helm,Master,16,53,25,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,40,30,3,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,GP 回復開始時間短縮,GP recovery start time shortening,TRUE,,,,,0%,,,,,,,,,A
100406,Head,ヘヴィアイアンヘルム,Heavy Iron Helm,Good,7,30,0,0,0,42,4,3.00,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 7,,,FALSE,,,,,0%,,,,,,,,,
100407,Head,王者の兜,Helmet of champions,Master,7,31,15,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 7,,,FALSE,,,,,0%,,,,,,,,,
100408,Head,王者の戦兜,War helmet of champions,Good,12,41,9,0,0,42,4,1.80,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,,,,FALSE,,,,,0%,,,,,,,,,
100501,Head,サリット,Sarit,Good,8,33,0,0,0,42,5,1.90,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 8,,,FALSE,,,,,0%,,,,,,,,,A
100502,Head,プレパレイションヘルム,Sample preparation and Deployment Helm,Normal,16,48,21,0,0,42,5,3.00,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100503,Head,アイリスヘルム,Iris Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100504,Head,ファントムヘルム,Phantom Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100505,Head,ジェネラルヘルム,General Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100506,Head,ホーリーヘルム,Holy Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100507,Head,上等なサリット,Choice of Sarit,Normal,10,37,0,0,0,42,5,1.90,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,
100508,Head,剛力のサリット,Sarit of Herculean strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100509,Head,レムレスヘルム,Remuresuherumu,Normal,21,81,33,0,0,42,5,4.10,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,35,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,52,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100510,Head,ヴァイゼヘルム,Vaizeherumu,Normal,26,129,54,0,0,42,5,5.00,40,40,20,ok,38,1,0,0,0,0,0,0,1,1,0,385,70,0,5,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,62,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100601,Head,モリオンアーメット,Morion Ah Met,Legend,1,18,9,0,0,35,4,1.50,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-1,,,,FALSE,,,,,0%,,,Wizardry Online Act#1,Wizardry Online Act # 1,[ジェムソケット固定] ○○○,[Gem socket retaining] ○○○,,,A
100602,Head,ヒートヘイズヘルム,Heat Haze Helm,Normal,14,43,17,0,0,35,4,1.50,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,15,10,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,38,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100603,Head,アルバヘルム,Arubaherumu,Normal,22,86,35,0,0,35,4,4.10,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,40,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,54,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100801,Head,コンポジットヘルム,Composite Helm,Good,15,50,0,0,0,35,4,0.80,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,40,-1,,,,FALSE,,,,,0%,,,,,,,,,
100802,Head,デスペレイションヘルム,Death Bae Ray Deployment Helm,Master,17,60,28,0,0,35,4,0.80,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,55,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,,HP 減少につれ魔法防御力上昇,Magic defense force increase as the HP decrease,TRUE,,,,,0%,,,,,,,,,
100803,Head,クヴィークメット,Click Vik Met,Master,24,120,54,0,0,35,2,0.90,40,40,20,ok,47,1,0,0,0,0,0,0,1,1,0,385,80,0,4,6,3,2,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,58,-1,,気絶効果時間短縮,Shortening stun effect time,TRUE,,,,,0%,,,,,,,,,E
100804,Head,カラバリ頭：0803,Karabari head: 0803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100806,Head,ラウドナスヘルム,Loud eggplant Helm,Normal,20,77,30,0,0,35,4,4.00,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,50,-1,,,,FALSE,,,,,0%,,,,,,,,,
100901,Head,ソルジャーヘルム,Soldier Helm,Good,11,39,8,0,0,42,4,1.90,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,30,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100902,Head,ロイヤルソルジャーヘルム,Royal Soldier Helm,Good,12,42,9,0,0,42,4,1.90,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100903,Head,トラオムヘルム,Toraomuherumu,Normal,25,119,50,0,0,42,4,5.00,40,30,30,ok,38,1,0,0,0,0,0,0,1,1,0,385,55,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,60,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100905,Head,シュミットヘルム,Schmidt Helm,Normal,18,61,26,0,0,42,4,1.90,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,46,-1,,,,FALSE,,,,,0%,,,,,,,,,
101201,Head,チェーンヘルム,Chain Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
